id;student_name;sex;student_class;student_khoahoc;dob
1;reboot amidst amount;save;gestate;gah motionless;2025-03-24
2;knowledgeably;armoire;suspiciously;jubilantly;2025-03-24
3;viciously jubilant;nor after;qua if between;despite;2025-03-24
4;but incidentally throughout;furiously unnaturally brr;that whenever even;mom;2025-03-24
5;yippee;yieldingly complete;equally;murky;2025-03-24
6;geez orderly;whoever serenade;given;until irritably quit;2025-03-24
7;whether thoroughly;ignorant;jaywalk often sweetly;where;2025-03-24
8;till;whirlwind;yowza illustrious;procurement compete;2025-03-24
9;merge CD;out;discontinue aw where;continually license;2025-03-24
10;giving magnificent;pulverize;quarterly following;language hourly;2025-03-24
